ccn_flag,ccn_conc,ccn_sursaturation,datetime,pollution_flag
0.0,374.986,0.3,2023-02-01 18:22:04,0.0
0.0,380.533,0.3,2023-02-01 18:22:05,0.0
0.0,337.958,0.3,2023-02-01 18:22:06,0.0
0.0,446.423,0.3,2023-02-01 18:22:07,0.0
0.0,389.777,0.3,2023-02-01 18:22:08,0.0
0.0,398.282,0.3,2023-02-01 18:22:09,0.0
0.0,438.552,0.3,2023-02-01 18:22:10,0.0
0.0,345.637,0.3,2023-02-01 18:22:11,0.0
0.0,312.184,0.3,2023-02-01 18:22:12,0.0
0.0,415.511,0.3,2023-02-01 18:22:13,0.0
0.0,448.308,0.3,2023-02-01 18:22:14,0.0
0.0,396.228,0.3,2023-02-01 18:22:15,0.0
0.0,396.421,0.3,2023-02-01 18:22:16,0.0
0.0,398.811,0.3,2023-02-01 18:22:17,0.0
0.0,388.283,0.3,2023-02-01 18:22:18,0.0
0.0,368.818,0.3,2023-02-01 18:22:19,0.0
0.0,409.148,0.3,2023-02-01 18:22:20,0.0
0.0,326.308,0.3,2023-02-01 18:22:21,0.0
0.0,385.439,0.3,2023-02-01 18:22:22,0.0
0.0,373.361,0.3,2023-02-01 18:22:23,0.0
0.0,343.389,0.3,2023-02-01 18:22:24,0.0
0.0,342.791,0.3,2023-02-01 18:22:25,0.0
0.0,408.571,0.3,2023-02-01 18:22:26,0.0
0.0,363.633,0.3,2023-02-01 18:22:27,0.0
0.0,356.688,0.3,2023-02-01 18:22:28,0.0
0.0,334.429,0.3,2023-02-01 18:22:29,0.0
0.0,329.173,0.3,2023-02-01 18:22:30,0.0
0.0,385.443,0.3,2023-02-01 18:22:31,0.0
0.0,376.065,0.3,2023-02-01 18:22:32,0.0
0.0,339.017,0.3,2023-02-01 18:22:33,0.0
0.0,438.041,0.3,2023-02-01 18:22:34,0.0
0.0,455.024,0.3,2023-02-01 18:22:35,0.0
0.0,382.817,0.3,2023-02-01 18:22:36,0.0
0.0,295.704,0.3,2023-02-01 18:22:37,0.0
0.0,370.944,0.3,2023-02-01 18:22:38,0.0
0.0,313.271,0.3,2023-02-01 18:22:39,0.0
0.0,380.146,0.3,2023-02-01 18:22:40,0.0
0.0,387.887,0.3,2023-02-01 18:22:41,0.0
0.0,358.343,0.3,2023-02-01 18:22:42,0.0
0.0,383.98,0.3,2023-02-01 18:22:43,0.0
0.0,404.695,0.3,2023-02-01 18:22:44,0.0
0.0,398.566,0.3,2023-02-01 18:22:45,0.0
0.0,451.933,0.3,2023-02-01 18:22:46,0.0
0.0,369.035,0.3,2023-02-01 18:22:47,0.0
0.0,406.065,0.3,2023-02-01 18:22:48,0.0
0.0,355.778,0.3,2023-02-01 18:22:49,0.0
0.0,364.698,0.3,2023-02-01 18:22:50,0.0
0.0,431.975,0.3,2023-02-01 18:22:51,0.0
0.0,355.639,0.3,2023-02-01 18:22:52,0.0
0.0,389.566,0.3,2023-02-01 18:22:53,0.0
0.0,349.403,0.3,2023-02-01 18:22:54,0.0
0.0,380.906,0.3,2023-02-01 18:22:55,0.0
0.0,371.28,0.3,2023-02-01 18:22:56,0.0
0.0,354.929,0.3,2023-02-01 18:22:57,0.0
0.0,365.222,0.3,2023-02-01 18:22:58,0.0
0.0,378.434,0.3,2023-02-01 18:22:59,0.0
0.0,345.813,0.3,2023-02-01 18:23:00,0.0
0.0,306.897,0.3,2023-02-01 18:23:01,0.0
0.0,348.67,0.3,2023-02-01 18:23:02,0.0
0.0,348.673,0.3,2023-02-01 18:23:03,0.0
0.0,410.971,0.3,2023-02-01 18:23:04,0.0
0.0,374.412,0.3,2023-02-01 18:23:05,0.0
0.0,330.149,0.3,2023-02-01 18:23:06,0.0
0.0,369.707,0.3,2023-02-01 18:23:07,0.0
0.0,374.505,0.3,2023-02-01 18:23:08,0.0
0.0,396.106,0.3,2023-02-01 18:23:09,0.0
0.0,379.982,0.3,2023-02-01 18:23:10,0.0
0.0,344.792,0.3,2023-02-01 18:23:11,0.0
0.0,392.933,0.3,2023-02-01 18:23:12,0.0
0.0,423.359,0.3,2023-02-01 18:23:13,0.0
0.0,400.832,0.3,2023-02-01 18:23:14,0.0
0.0,451.163,0.3,2023-02-01 18:23:15,0.0
0.0,366.073,0.3,2023-02-01 18:23:16,0.0
0.0,361.356,0.3,2023-02-01 18:23:17,0.0
0.0,277.361,0.3,2023-02-01 18:23:18,0.0
0.0,326.181,0.3,2023-02-01 18:23:19,0.0
0.0,404.011,0.3,2023-02-01 18:23:20,0.0
0.0,383.315,0.3,2023-02-01 18:23:21,0.0
0.0,353.459,0.3,2023-02-01 18:23:22,0.0
0.0,394.915,0.3,2023-02-01 18:23:23,0.0
0.0,413.48,0.3,2023-02-01 18:23:24,0.0
0.0,415.966,0.3,2023-02-01 18:23:25,0.0
0.0,389.198,0.3,2023-02-01 18:23:26,0.0
0.0,370.132,0.3,2023-02-01 18:23:27,0.0
0.0,439.815,0.3,2023-02-01 18:23:28,0.0
0.0,444.986,0.3,2023-02-01 18:23:29,0.0
0.0,398.878,0.3,2023-02-01 18:23:30,0.0
0.0,358.058,0.3,2023-02-01 18:23:31,0.0
0.0,423.708,0.3,2023-02-01 18:23:32,0.0
0.0,380.41,0.3,2023-02-01 18:23:33,0.0
0.0,420.47,0.3,2023-02-01 18:23:34,0.0
0.0,432.527,0.3,2023-02-01 18:23:35,0.0
0.0,398.43,0.3,2023-02-01 18:23:36,0.0
0.0,400.177,0.3,2023-02-01 18:23:37,0.0
0.0,340.594,0.3,2023-02-01 18:23:38,0.0
0.0,375.334,0.3,2023-02-01 18:23:39,0.0
0.0,414.768,0.3,2023-02-01 18:23:40,0.0
0.0,396.168,0.3,2023-02-01 18:23:41,0.0
0.0,377.375,0.3,2023-02-01 18:23:42,0.0
0.0,380.935,0.3,2023-02-01 18:23:43,0.0
0.0,342.883,0.3,2023-02-01 18:23:44,0.0
0.0,381.503,0.3,2023-02-01 18:23:45,0.0
0.0,395.635,0.3,2023-02-01 18:23:46,0.0
0.0,377.745,0.3,2023-02-01 18:23:47,0.0
0.0,376.348,0.3,2023-02-01 18:23:48,0.0
0.0,368.029,0.3,2023-02-01 18:23:49,0.0
0.0,402.345,0.3,2023-02-01 18:23:50,0.0
0.0,368.236,0.3,2023-02-01 18:23:51,0.0
0.0,309.9,0.3,2023-02-01 18:23:52,0.0
0.0,346.532,0.3,2023-02-01 18:23:53,0.0
0.0,322.741,0.3,2023-02-01 18:23:54,0.0
0.0,363.155,0.3,2023-02-01 18:23:55,0.0
0.0,414.728,0.3,2023-02-01 18:23:56,0.0
0.0,377.506,0.3,2023-02-01 18:23:57,0.0
0.0,377.496,0.3,2023-02-01 18:23:58,0.0
0.0,402.55,0.3,2023-02-01 18:23:59,0.0
0.0,377.43,0.3,2023-02-01 18:24:00,0.0
